"country","region","year","sex","age_group","percent_of_cvd_deaths","trans_fat_pct_kcal_day","sodium_g_per_day","fiber_g_per_day","fruit_g_per_day","legumes_g_per_day","mean_prev_overweight","mean_change_overweight","mean_prev_obese","mean_change_obese","smoking_or_tobacco_use","gdp_billions"
"Slovenia","Central Europe",2019,"Female","75-79 years",32.9671762676608,0,5.5135222494965,16.2560642933516,205.9805772456,10.3733221374485,0.265934488779736,-0.143126418558536,0.479982630799469,0.573022894952712,NA,70.868515625
"Slovenia","Central Europe",2019,"Male","80-84 years",37.3027353637656,0,6.67270344001206,14.9886625200473,206.27889678838,8.3643656674622,0.318055737677566,-0.0184426038441239,0.366070992571138,0.576460523348375,NA,70.868515625
"Slovenia","Central Europe",2019,"Female","80-84 years",41.6940785710166,0,5.18894031035265,14.8504473695736,200.377491016109,9.62577757087096,0.313343435414296,0.0832468298710655,0.350123339024738,0.860631924490135,NA,70.868515625
"Italy","Southern Europe",2018,"Male","25-29 years",8.12890882989183,0.226816456963514,4.53228345849012,14.2951589818731,194.485337349531,32.9921729490897,0.363705862291953,0.395200800348747,0.0861052832959375,1.90696268017238,NA,2458.23575
"Italy","Southern Europe",2018,"Female","25-29 years",8.54815082678016,0.22356339566462,3.57046829978438,14.2130965673984,185.834617586458,37.6926226311522,0.176663523021405,0.535844016005536,0.0954312929066105,1.26956712595806,NA,2458.23575
"Italy","Southern Europe",2018,"Male","30-34 years",11.66280059485,0.225702515101874,4.6771374132558,14.5048042887915,199.454716776243,33.7791133117837,0.408238606332281,0.37812874931581,0.113743264563097,1.95200345340576,NA,2458.23575
"Italy","Southern Europe",2018,"Female","30-34 years",8.68271244958801,0.225774995606473,3.62914516006394,14.5032299451916,192.109474966639,39.2546484950697,0.21236430301139,0.61296135296779,0.122599640518487,1.95466582172493,NA,2458.23575
"Italy","Southern Europe",2018,"Male","35-39 years",15.2861450568346,0.231321890346795,4.61958515046728,14.8019980458376,207.522148356286,34.8938724208742,0.44352479479703,0.16833660779227,0.137648939257031,1.35034631581332,NA,2458.23575
"Italy","Southern Europe",2018,"Female","35-39 years",9.41104633304236,0.228167140272028,3.73026757657551,14.6752474062502,200.312708447332,40.2136482267809,0.229825379185289,0.138663373566616,0.11967729523709,0.70082040703418,NA,2458.23575
"Italy","Southern Europe",2018,"Male","40-44 years",19.5860704093221,0.232637804404735,4.66262488857379,14.7857304118994,216.913061967804,35.947186416189,0.460279587675192,0.165404456410301,0.147507472225278,1.1935681619753,NA,2458.23575
"Italy","Southern Europe",2018,"Female","40-44 years",10.2673706469448,0.232515046782307,3.87570505366155,14.9507347072641,207.888325469999,40.7927805223344,0.248164826191915,0.193719068162428,0.143454073894222,1.02359670194237,NA,2458.23575
"Italy","Southern Europe",2018,"Male","45-49 years",22.34992606721,0.23633072803386,4.55512070541456,15.9798224411285,239.948183679421,35.9265256891893,0.453632204434736,0.104354051758345,0.166126940583452,1.02041422917096,NA,2458.23575
"Italy","Southern Europe",2018,"Female","45-49 years",10.7486397259719,0.236334300497844,3.67435984026709,15.893855068488,231.992839972039,41.1425513136783,0.283513000643063,0.065668231855447,0.165549420005649,0.842246729941191,NA,2458.23575
"Italy","Southern Europe",2018,"Male","50-54 years",23.0445460640641,0.237563312072043,4.53329529108325,16.7381024223577,261.91774552333,36.2248618892034,0.474165624929963,0.0901878558123451,0.180704474941693,0.991656573470055,NA,2458.23575
"Italy","Southern Europe",2018,"Female","50-54 years",10.9016375066813,0.239090935114157,3.65290709783815,16.6465919970681,252.716609846917,41.6171307759947,0.331664579673294,0.0894017451014059,0.19934873938126,0.683396813043384,NA,2458.23575
"Italy","Southern Europe",2018,"Male","55-59 years",22.9224260996761,0.243371619452843,4.47106008155481,17.5119896039335,283.636134742434,36.2803901061958,0.475576070573412,0.121736188501878,0.194324960501891,0.983785374578828,NA,2458.23575
"Italy","Southern Europe",2018,"Female","55-59 years",12.2292299417079,0.243945895274812,3.59011432850621,17.2957798438038,273.356270555388,41.9456069597736,0.331396639119362,-0.0118155122924935,0.19843267872868,0.623132180002215,NA,2458.23575
"Italy","Southern Europe",2018,"Male","60-64 years",22.9417914726975,0.247450799077738,4.30843092516047,17.6233799316841,296.118729165188,35.9878100094504,0.476193125339534,0.0610137429276615,0.186313034920823,1.05156664882721,NA,2458.23575
"Italy","Southern Europe",2018,"Female","60-64 years",14.6392785952617,0.250582868989003,3.43615705577476,17.6450073902244,283.563168884049,41.095306604377,0.38644791341537,0.144643005716235,0.214366176542842,0.539455872749418,NA,2458.23575
"Italy","Southern Europe",2018,"Male","65-69 years",23.6777258566321,0.251190884848322,3.9690404098994,17.260772770064,288.583991461888,34.6895961961264,0.50379821512489,0.179252889831117,0.180675317075792,1.08156611455094,NA,2458.23575
"Italy","Southern Europe",2018,"Female","65-69 years",17.4353393098855,0.253334474940222,3.14371615824766,17.0929999534787,276.130844343117,39.9710313375528,0.365199038734447,0.0709012127994208,0.203205647537881,0.503976491304852,NA,2458.23575
"Italy","Southern Europe",2018,"Male","70-74 years",25.2481643354231,0.261182617972942,3.55994805931371,16.7818425474863,284.593706430428,33.5556476097166,0.504275966748802,0.169961881924409,0.181811378103062,1.49653601053912,NA,2458.23575
"Italy","Southern Europe",2018,"Female","70-74 years",22.0083395362174,0.261949201508544,2.76165918100118,16.602836898304,272.879842979947,38.455536315867,0.357384013890981,0.0707447329169684,0.301139497845552,1.02769433824009,NA,2458.23575
"Italy","Southern Europe",2018,"Male","75-79 years",27.9182756565357,0.267054812987472,3.19004951191217,16.1724119799424,278.343575643579,32.0883053290492,0.489154361524143,0.200452020011309,0.17823523210522,1.56196729671208,NA,2458.23575
"Italy","Southern Europe",2018,"Female","75-79 years",27.5160296867031,0.264656612978355,2.67238323599112,16.0876924639054,267.068478342302,37.3871657269497,0.360690828539803,0.0557541436859911,0.311770303175692,1.06797933734488,NA,2458.23575
"Italy","Southern Europe",2018,"Male","80-84 years",31.7274665609418,0.274986614399207,3.28288053901203,14.2061703637571,265.054984419228,29.6523578446441,0.424556273405381,0.206099563143789,0.16863977311965,1.48316554356291,NA,2458.23575
"Italy","Southern Europe",2018,"Female","80-84 years",33.4407675918518,0.274792725664447,2.71954037267903,14.3864012561341,255.729180547989,34.198988799163,0.390218370200314,0.201098853811612,0.204710239850529,1.52731202363769,NA,2458.23575
"Malta","Southern Europe",2019,"Male","25-29 years",7.82953271196832,0.403466750621576,4.34056629591443,15.4061760162735,113.404020764468,24.2607303576504,0.310583920653478,0.452737112402851,0.142131051997913,2.72135575517503,NA,17.134908203
"Malta","Southern Europe",2019,"Female","25-29 years",9.84573163044137,0.40453777848792,3.3426773815437,15.3612255083218,109.621257224967,28.0134249470382,0.20363659782195,0.42255852594177,0.180966415774117,2.33840867088561,NA,17.134908203
"Malta","Southern Europe",2019,"Male","30-34 years",11.6891273777497,0.407850563473842,4.64032266978383,15.7237604100945,116.297294364622,25.0043197093515,0.384090400461697,0.344455184312733,0.171180573666997,2.41637772326782,NA,17.134908203
"Malta","Southern Europe",2019,"Female","30-34 years",11.9438131844561,0.407932106637631,3.46299510809666,15.5278402496206,112.143041767487,28.6477650162135,0.238150466406748,0.323165570341783,0.225656240749917,2.07787463699292,NA,17.134908203
"Malta","Southern Europe",2019,"Male","35-39 years",16.9437623824962,0.411911514406574,4.46442993278318,15.9460945987982,121.436956399773,25.6980403229263,0.430914121827432,0.233534993480433,0.194822723775137,2.16760667107847,NA,17.134908203
"Malta","Southern Europe",2019,"Female","35-39 years",11.6395254654985,0.411973414167622,3.54878480276642,15.8741835047627,116.922137901695,29.6678388545522,0.269645101957868,0.270470512007706,0.24092061004483,1.94829524496324,NA,17.134908203
"Malta","Southern Europe",2019,"Male","40-44 years",24.0053536990088,0.41826849764379,4.3431006107035,16.3920576719104,127.912440844413,26.137256502319,0.451061369999322,0.187874358405929,0.209889218202532,1.99257950354041,NA,17.134908203
"Malta","Southern Europe",2019,"Female","40-44 years",13.9765882885453,0.427506971564845,3.43753557789483,16.2528841521554,123.948621488174,30.2971541948432,0.301507248948648,0.234395044883743,0.255072467570711,1.9555812503919,NA,17.134908203
"Malta","Southern Europe",2019,"Male","45-49 years",28.3789499789371,0.424820083645018,4.44105405239703,17.1926079636885,140.189253848945,26.5252017080364,0.439151229909749,0.186771634478039,0.209507145020518,2.02822216020655,NA,17.134908203
"Malta","Southern Europe",2019,"Female","45-49 years",14.1796355519324,0.435194903686377,3.65415625298811,17.0881397933273,134.880940448865,30.4588327675994,0.323781772758928,0.174222325888843,0.279755043220485,1.6953507503465,NA,17.134908203
"Malta","Southern Europe",2019,"Male","50-54 years",27.4967419767402,0.425799639039404,4.64468411206597,17.9903738754416,152.200469803381,26.7001789446774,0.434842162890994,0.135587108963542,0.236980054680372,1.904096196489,NA,17.134908203
"Malta","Southern Europe",2019,"Female","50-54 years",15.5956716267566,0.436340152830599,4.07711990671062,17.9775449999095,145.512645239412,30.7630114444452,0.329759412462023,0.0981896413700617,0.31715828363903,1.53660197242679,NA,17.134908203
"Malta","Southern Europe",2019,"Male","55-59 years",29.5079434280456,0.440415806745849,4.485777919703,18.788440792818,161.58481917047,26.6439433492295,0.39667237462264,0.173512456713914,0.231793904139631,1.91860654943082,NA,17.134908203
"Malta","Southern Europe",2019,"Female","55-59 years",20.7860210258005,0.441625822923372,3.81182849649987,18.6817185677037,157.016334649948,30.5127095448795,0.36064226745779,0.0544913559209562,0.33880265000403,1.3894605927224,NA,17.134908203
"Malta","Southern Europe",2019,"Male","60-64 years",27.4372459644092,0.449280086347424,4.25048135301765,19.1173759258575,169.12519324042,26.4638612157911,0.406503606993773,0.203470472848273,0.221515921726015,2.03450599232619,NA,17.134908203
"Malta","Southern Europe",2019,"Female","60-64 years",22.0943433924867,0.450940702767568,3.56403499087603,18.8684606702418,162.656038775595,30.1264686841207,0.364027446731768,0.0529305664719398,0.341372720730295,1.40626069042218,NA,17.134908203
"Malta","Southern Europe",2019,"Male","65-69 years",30.2551435402254,0.459923250635579,3.91095578230011,18.6442850612948,167.614301766451,25.5330739723978,0.435236572027896,0.188027528508391,0.215349350886283,2.01220985774581,NA,17.134908203
"Malta","Southern Europe",2019,"Female","65-69 years",23.6067294283463,0.455900638745533,3.16520323334003,18.4405082145311,159.221688609747,29.5765683664375,0.362573957346411,0.0265690267437447,0.355935835398321,1.29885769005771,NA,17.134908203
"Malta","Southern Europe",2019,"Male","70-74 years",30.1697556014115,0.467886611523123,3.54499679357637,18.0639779463383,164.32334638884,24.4774901704472,0.44046583861155,0.254397140335538,0.186371305719595,2.26934030479351,NA,17.134908203
"Malta","Southern Europe",2019,"Female","70-74 years",30.3141948919164,0.477442626260792,2.75495581101137,17.9253026843176,157.557993649082,28.2232421705194,0.359054181915719,0.0812086961540364,0.325857264080399,1.49292518831994,NA,17.134908203
"Malta","Southern Europe",2019,"Male","75-79 years",33.3955558141093,0.479835267408134,3.16231361877127,17.4547728170398,160.811311927199,23.5937111489989,0.447369540498222,0.324330830470622,0.156055462941623,2.48175551906395,NA,17.134908203
"Malta","Southern Europe",2019,"Female","75-79 years",33.7621351897653,0.485750953614692,2.63141049221178,17.4027866796747,155.289830398054,27.3711712311867,0.357850894293499,0.107558133570711,0.293757163570966,1.56776456497966,NA,17.134908203
"Malta","Southern Europe",2019,"Male","80-84 years",35.749138470171,0.494640276795859,3.20893749413389,16.1147054627229,154.876886869217,21.8723086573128,0.376263491041625,0.41449114416707,0.135626510663674,2.69915292641543,NA,17.134908203
